2024-11-16T04:25:09.676407Z [info     ] 2024-11-16 04:25:09,676 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 65.74045395851135, "tags": {"stream": "pipeline_benchmark-customer", "pid": 22685, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:25:09.676683Z [info     ] 2024-11-16 04:25:09,676 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 13218, "tags": {"stream": "pipeline_benchmark-customer", "pid": 22685, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:25:09.676873Z [info     ] 2024-11-16 04:25:09,676 | INFO     | tap-postgres.pipeline_benchmark-lineitem | Beginning full_table sync of 'pipeline_benchmark-lineitem'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:25:09.677008Z [info     ] 2024-11-16 04:25:09,676 | INFO     | tap-postgres.pipeline_benchmark-lineitem | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:25:09.677459Z [info     ] 2024-11-16 04:25:09,677 | INFO     | target-bigquery      | Initializing 'target-bigquery' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:09.677617Z [info     ] 2024-11-16 04:25:09,677 | INFO     | target-bigquery      | Initializing target sink for stream 'pipeline_benchmark-lineitem'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:10.377642Z [info     ] 2024-11-16 04:25:10,377 | INFO     | target-bigquery      | Setting up pipeline_benchmark-lineitem cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:19.250283Z [info     ] 2024-11-16 04:25:19,250 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:19.250620Z [info     ] 2024-11-16 04:25:19,250 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 135000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:24.979772Z [info     ] 2024-11-16 04:25:24,979 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
